Galaxy Velocity Dispersion [km/s],Black Hole Mass [log(M/Msol)]
288.0,9.59
322.0,9.15
158.0,6.23
270.0,9.43
315.0,9.45
144.0,6.64
103.0,6.61
75.0,6.41
160.0,8.15
235.0,8.93
209.0,8.23
205.0,7.6
151.0,6.93
148.0,7.83
218.0,7.85
226.0,8.23
328.0,9.18
174.0,8.77
166.0,6.08
296.0,8.71
274.0,9.67
289.0,9.58
144.0,6.89
145.0,7.15
115.0,7.67
189.0,7.61
166.0,7.083
143.0,7.9
146.0,6.38
307.0,9.57
230.0,8.95
133.0,6.775
205.0,8.32
122.0,6.88
145.0,8.28
206.0,8.62
143.0,7.04
148.0,7.52
100.0,6.78
213.0,8.52
229.0,8.15
182.0,8.67
270.0,9.99
272.0,8.93
180.0,8.26
93.0,7.555
115.0,7.565
315.0,8.72
242.0,8.99
84.0,6.96
225.0,8.66
181.0,8.75
296.0,8.96
107.0,6.94
167.0,7.85
315.0,9.38
190.0,7.95
324.0,9.79
111.0,7.15
169.0,8.76
222.0,8.675
162.0,7.94
230.0,8.83
136.0,7.92
341.0,9.67
177.0,8.3
112.0,6.83
90.0,7.15
355.0,9.15
96.0,6.2
347.0,1.32
134.0,6.15
101.0,8.93
222.0,8.9
150.0,7.77
190.0,9.0
333.0,9.68
306.0,9.54
183.0,8.23
234.0,8.69
318.0,9.58
282.0,9.2
290.0,8.78
158.0,7.481
158.0,6.99
389.0,9.32
266.0,8.6
135.0,7.08
67.0,6.94
156.0,7.74
313.0,9.41
257.0,9.11
107.0,7.033
